timestamp_s,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
0.096937,1.0676,0.0536031,1.51191,1.2434,0.288611,0.127349,0.0637895
0.0979221,1.05239,0.0749662,1.51375,1.27967,0.300507,0.127891,0.0664672
0.0989491,1.06154,0.0803133,1.52013,1.31984,0.309401,0.129485,0.0678994
0.100056,1.07564,0.118896,1.54831,1.38033,0.318833,0.132152,0.0697289
0.101031,1.05279,0.157753,1.56344,1.39032,0.333872,0.134905,0.0724493
0.102059,1.06661,0.190364,1.59194,1.42994,0.336234,0.132552,0.0743148
0.102958,1.06573,0.223656,1.58501,1.46257,0.350255,0.128436,0.0813791
0.104043,1.07956,0.232605,1.59198,1.48889,0.36065,0.123865,0.0821461
0.105026,1.09135,0.280396,1.6172,1.53044,0.368653,0.130251,0.0802389
0.106003,1.10347,0.303235,1.65938,1.55959,0.377791,0.13136,0.0878762
0.107002,1.09648,0.33214,1.65844,1.57664,0.396098,0.138675,0.0846757
0.108003,1.10418,0.359044,1.69701,1.60134,0.400908,0.14289,0.0903196
0.108995,1.1056,0.383694,1.71056,1.61777,0.410058,0.142918,0.0922949
0.110023,1.07698,0.437449,1.75194,1.68048,0.429239,0.119383,0.107151
0.111064,1.08764,0.478704,1.7624,1.70226,0.445039,0.12107,0.108733
0.112036,1.09259,0.49456,1.77964,1.7317,0.458034,0.119173,0.117036
0.112957,1.09331,0.528683,1.78638,1.74118,0.475535,0.119499,0.117623
0.113971,1.09717,0.559103,1.80799,1.76966,0.485561,0.117113,0.119341
0.115007,1.11539,0.613616,1.83436,1.79871,0.496689,0.112191,0.119876
0.116023,1.11434,0.630901,1.84964,1.82753,0.512378,0.115326,0.125177
0.11695,1.11688,0.663438,1.86103,1.84064,0.520845,0.111951,0.121371
0.118002,1.12068,0.723734,1.86982,1.85889,0.524705,0.112882,0.124883
0.119014,1.11942,0.748696,1.88726,1.90013,0.533852,0.113223,0.12929
0.119979,1.13543,0.773158,1.89037,1.90983,0.543996,0.11676,0.132771
0.121107,1.12733,0.849611,1.94094,1.93513,0.55221,0.121112,0.1406
0.122039,1.13933,0.883361,1.91448,1.95143,0.559807,0.11952,0.140816
0.123017,1.14264,0.918477,1.95442,1.972,0.561776,0.115261,0.138455
0.123957,1.14829,0.950842,1.97431,2.05899,0.570403,0.118473,0.140791
0.124946,1.15974,1.01186,1.99698,2.09099,0.582992,0.106042,0.145702
0.125956,1.17291,1.03882,1.99181,2.09071,0.592854,0.0907798,0.148371
0.127012,1.1883,1.08558,1.98538,2.14165,0.611041,0.0880801,0.15157
0.127964,1.19506,1.13086,1.98779,2.15704,0.613537,0.0871902,0.153052
0.12895,1.20219,1.17122,2.00755,2.22688,0.622859,0.0869914,0.156566
0.130044,1.20735,1.2339,2.00181,2.24982,0.641438,0.0769484,0.159083
0.131041,1.20334,1.25164,2.00448,2.26945,0.645965,0.073276,0.157855
0.132047,1.22771,1.27512,2.01687,2.29989,0.661939,0.0652737,0.163438
0.13293,1.23245,1.29215,2.01799,2.34675,0.672183,0.0602057,0.167404
0.133941,1.23128,1.34309,2.03745,2.36634,0.669356,0.0547856,0.169261
0.134987,1.23606,1.37328,2.02828,2.41364,0.682253,0.0497109,0.169785
0.136042,1.23008,1.37775,2.05051,2.4506,0.677814,0.034546,0.17519
0.137013,1.2432,1.41329,2.04213,2.47307,0.679794,0.0218257,0.175047
0.137965,1.25731,1.42054,2.04612,2.50557,0.667986,0.0217289,0.177151
0.139036,1.25581,1.4583,2.05592,2.49423,0.656059,0.0176283,0.179824
0.139998,1.2603,1.4573,2.08021,2.54217,0.646432,0.0137343,0.181549
0.140962,1.27396,1.47668,2.08761,2.56556,0.6425,0.00932962,0.18754
0.141949,1.28341,1.48239,2.10696,2.58925,0.634196,0.00606201,0.189329
0.142984,1.28418,1.49331,2.10656,2.62123,0.636412,0.00962204,0.188269
0.143947,1.27918,1.51549,2.11387,2.63603,0.646052,0.00406886,0.190252
0.144962,1.28208,1.54503,2.13373,2.64769,0.638872,-0.00415422,0.194829
0.145997,1.29617,1.54406,2.13572,2.67557,0.653833,-0.00933638,0.194573
0.146936,1.30881,1.55017,2.15941,2.70049,0.668112,-0.0176862,0.199314
0.147992,1.30061,1.55284,2.16204,2.69878,0.686621,-0.0166406,0.200664
0.14903,1.30166,1.57136,2.1893,2.7323,0.699532,-0.0156341,0.202816
