timestamp_s,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7
0.0809903,1.37815,0.306277,1.5334,0.73764,1.04679,-0.224684,0.0788052
0.0820446,1.38633,0.352487,1.54712,0.784244,1.0546,-0.228952,0.0818034
0.0829617,1.37448,0.387613,1.55914,0.861384,1.06439,-0.232878,0.0797255
0.0840332,1.39393,0.407138,1.55751,0.903911,1.06768,-0.232757,0.0854361
0.0850739,1.41918,0.456588,1.56273,0.959567,1.0797,-0.235754,0.0898307
0.0860022,1.42664,0.469236,1.57527,0.98939,1.08756,-0.240484,0.0914981
0.0870472,1.40012,0.484962,1.57521,1.04832,1.09316,-0.243095,0.0904296
0.0880429,1.42131,0.52158,1.60038,1.07554,1.10359,-0.245223,0.0963325
0.0890347,1.43154,0.533191,1.59584,1.11654,1.11631,-0.250536,0.0975345
0.090042,1.44028,0.53881,1.61189,1.15541,1.12213,-0.24475,0.100858
0.0910351,1.4488,0.55957,1.62056,1.19424,1.12568,-0.244351,0.103437
0.0920357,1.4664,0.592065,1.60435,1.23311,1.13384,-0.246252,0.104816
0.0929531,1.46885,0.626379,1.61155,1.27227,1.1437,-0.253842,0.107808
0.0939303,1.4737,0.638929,1.61478,1.3237,1.14627,-0.262441,0.114145
0.0949869,1.47278,0.663725,1.61707,1.35613,1.15302,-0.264585,0.115207
0.0959692,1.47489,0.675404,1.62257,1.39098,1.15222,-0.268707,0.11615
0.0970514,1.48319,0.704554,1.66099,1.42718,1.16072,-0.27085,0.117283
0.09808,1.48605,0.74148,1.66932,1.45276,1.15974,-0.274111,0.119114
0.0990775,1.49292,0.775398,1.6816,1.48643,1.16829,-0.283808,0.122168
0.100069,1.48527,0.812339,1.69754,1.52116,1.17462,-0.282562,0.124018
0.101071,1.48855,0.839868,1.70029,1.54064,1.1778,-0.285778,0.127802
0.102032,1.48931,0.873052,1.7201,1.57185,1.18557,-0.294005,0.130169
0.103029,1.50739,0.930437,1.73451,1.61033,1.19022,-0.29548,0.133282
0.104025,1.49877,0.962864,1.74643,1.64517,1.20493,-0.296565,0.137301
0.105012,1.51547,1.01403,1.75777,1.67152,1.20636,-0.301116,0.141766
0.106097,1.5165,1.05083,1.76571,1.69929,1.21595,-0.304207,0.143437
0.107081,1.51818,1.09353,1.77743,1.72085,1.23051,-0.302015,0.144111
0.108037,1.519,1.14652,1.79814,1.76017,1.24046,-0.30029,0.144694
0.10904,1.51847,1.15886,1.80567,1.79814,1.25017,-0.298445,0.149828
0.110027,1.52206,1.20141,1.81988,1.8207,1.26463,-0.295926,0.149172
0.110968,1.52769,1.23909,1.84027,1.86507,1.2748,-0.295311,0.152144
0.111949,1.52103,1.29298,1.85372,1.87928,1.28104,-0.301401,0.155012
0.11299,1.52856,1.30529,1.85436,1.89586,1.28609,-0.304909,0.156451
0.114012,1.51576,1.34019,1.88572,1.94195,1.30105,-0.313606,0.161872
0.115032,1.53984,1.37668,1.89873,1.9409,1.31282,-0.316115,0.165398
0.116028,1.53923,1.41631,1.92553,2.02485,1.31872,-0.311357,0.16699
0.117006,1.5264,1.4621,1.93287,2.05186,1.3319,-0.320502,0.165174
0.118008,1.53807,1.50598,1.94805,2.05235,1.33277,-0.331208,0.174183
0.118986,1.53723,1.53898,1.95636,2.09481,1.33855,-0.329576,0.176359
0.119994,1.52373,1.58146,1.97495,2.12218,1.34932,-0.331309,0.17348
0.120985,1.53001,1.60718,1.99178,2.1942,1.36182,-0.327631,0.177054
0.121985,1.53913,1.64659,2.00144,2.22142,1.36639,-0.327691,0.183447
0.122982,1.54336,1.66904,2.00494,2.23413,1.37275,-0.330014,0.185444
0.123956,1.54009,1.70194,2.00995,2.27899,1.38116,-0.336518,0.185597
0.125012,1.53515,1.71984,2.02315,2.31986,1.38742,-0.340883,0.187497
0.126006,1.53482,1.75315,2.03079,2.33487,1.39148,-0.345691,0.189593
0.126954,1.54288,1.78439,2.04009,2.37427,1.3942,-0.34847,0.193915
0.127925,1.55177,1.80776,2.05577,2.41895,1.40339,-0.351531,0.199432
0.128934,1.54777,1.80358,2.08859,2.42378,1.41334,-0.356239,0.198224
0.129928,1.52863,1.81541,2.07741,2.48402,1.41482,-0.362096,0.199718
0.130985,1.53027,1.85107,2.09284,2.47895,1.42242,-0.371907,0.20376
0.132002,1.54979,1.86618,2.11251,2.50098,1.43503,-0.370589,0.207427
0.132991,1.53954,1.87293,2.14159,2.53776,1.43372,-0.367709,0.213065
0.133989,1.53927,1.88825,2.14548,2.5611,1.43871,-0.368809,0.213369
0.135028,1.53706,1.89919,2.18205,2.59345,1.44386,-0.372586,0.212944
0.135955,1.54557,1.92179,2.20015,2.60091,1.45409,-0.377929,0.215022
0.136996,1.54795,1.9286,2.22758,2.63131,1.45708,-0.381878,0.219522
0.137997,1.55176,1.94576,2.24268,2.63708,1.46219,-0.381452,0.22128
0.138937,1.55788,1.96654,2.26833,2.65265,1.45749,-0.379457,0.225685
0.139993,1.56242,1.97711,2.27659,2.66115,1.45874,-0.381433,0.224152
0.140987,1.5632,1.9899,2.29348,2.69474,1.46483,-0.381833,0.228191
0.141933,1.56557,1.99002,2.31061,2.71098,1.46331,-0.383173,0.23302
0.142936,1.56336,1.99344,2.30131,2.71889,1.46631,-0.383592,0.237832
0.144046,1.56821,2.01062,2.31877,2.73488,1.46046,-0.384572,0.235395
0.144986,1.56034,2.01363,2.33053,2.73588,1.46175,-0.383826,0.239158
0.145962,1.56406,2.02219,2.34964,2.77639,1.46485,-0.383885,0.241506
0.147006,1.57036,2.03484,2.35516,2.80367,1.46169,-0.382949,0.243164
0.148094,1.56416,2.02262,2.35908,2.78893,1.45485,-0.37873,0.246154
0.149002,1.57973,2.04449,2.36754,2.82117,1.45589,-0.380623,0.247459
0.150007,1.5793,2.05624,2.39255,2.8315,1.46155,-0.375206,0.25336
0.151061,1.58227,2.06592,2.40337,2.86155,1.47428,-0.374445,0.255627
0.152098,1.57081,2.07763,2.39786,2.88133,1.48034,-0.373325,0.258768
0.15303,1.57229,2.09328,2.41688,2.88328,1.47772,-0.369797,0.258963
0.154071,1.57203,2.04683,2.40384,2.83261,1.46288,-0.360045,0.257484
0.155121,1.56992,2.01402,2.3898,2.77172,1.45332,-0.35333,0.256024
0.156097,1.57183,2.1808,2.45802,2.96614,1.48781,-0.435793,0.267227
0.157041,1.54637,2.15487,2.42684,2.92225,1.47535,-0.435656,0.270522
0.158076,1.55433,2.13756,2.40443,2.87669,1.46745,-0.427537,0.267743
