elapsed_time,joint_1 state,joint_2 state,joint_3 state,joint_4 state,joint_5 state,joint_6 state,joint_7 state,joint_1 torque,joint_2 torque,joint_3 torque,joint_4 torque,joint_5 torque,joint_6 torque,joint_7 torque,ee_x,ee_y,ee_z
4.290035,-0.018707383102471213,-0.518590357340582,0.06551764115100502,-2.8921478486613363,0.030336888081147838,2.3601404664754884,0.768713881159238,-0.36405001368010537,-0.4233315551650292,-0.5022385368844755,1.1537312384840595,1.382968210728182,0.23680187763975896,0.2815069444672205,0.3260531366218323,0.011319256530193058,0.21751252635155532
4.291053,-0.018707383102471213,-0.518590357340582,0.06551764115100502,-2.8921478486613363,0.030336888081147838,2.3601404664754884,0.768713881159238,-0.3653332357272577,-0.4232497358999575,-0.5041596794995894,1.1610651339720022,1.3837141325896143,0.23853768265707145,0.2816803938738887,0.32604675668137584,0.011318144663442949,0.21747647412559756
4.292038,-0.018707383102471213,-0.518590357340582,0.06551764115100502,-2.8921478486613363,0.030336888081147838,2.3601404664754884,0.768713881159238,-0.36666883375230097,-0.42239436067023833,-0.5060494328818982,1.1677874405487534,1.3844543915831664,0.24011300719623144,0.2818562638094046,0.326035503522545,0.01131636696800124,0.21742146267718623
4.293044,-0.018707383102471213,-0.518590357340582,0.06551764115100502,-2.8921478486613363,0.030336888081147838,2.3601404664754884,0.768713881159238,-0.3673844163738699,-0.4218578118206723,-0.5072297395444285,1.1742795684359955,1.3851332553077156,0.24160655164585734,0.2820466050295725,0.32602591431539135,0.011314492146758634,0.21737669665981835
4.294038,-0.018707383102471213,-0.518590357340582,0.06551764115100502,-2.8921478486613363,0.030336888081147838,2.3601404664754884,0.768713881159238,-0.3675259482447432,-0.42200737594615956,-0.507680182053402,1.1810550774454385,1.3857338315467491,0.24310479213694006,0.2822572814435303,0.3260163482864475,0.011315426822686091,0.2173274659144484
4.295044,-0.018707383102471213,-0.518590357340582,0.06551764115100502,-2.8921478486613363,0.030336888081147838,2.3601404664754884,0.768713881159238,-0.3683368879192436,-0.42233472702094854,-0.5085225607762648,1.1877039484081204,1.3863195992676791,0.24455004794639898,0.2824585712736297,0.32601352203824163,0.011315101936199687,0.21731168870318174
4.296039,-0.018707383102471213,-0.518590357340582,0.06551764115100502,-2.8921478486613363,0.030336888081147838,2.3601404664754884,0.768713881159238,-0.36968703416604887,-0.4223822356954592,-0.5096293965431277,1.1935083278910197,1.3868627474674722,0.24581575366971534,0.2826135284492702,0.3260063487275502,0.011312653897289084,0.21727325527375232
4.297045,-0.018707383102471213,-0.518590357340582,0.06551764115100502,-2.8921478486613363,0.030336888081147838,2.3601404664754884,0.768713881159238,-0.36985820315859647,-0.4223447150231654,-0.5093900507499282,1.1980639629104108,1.3872129068368737,0.24681594485718236,0.28271593902475806,0.3259993590992173,0.01131014254451531,0.217223102752532
4.298042,-0.018707383102471213,-0.518590357340582,0.06551764115100502,-2.8921478486613363,0.030336888081147838,2.3601404664754884,0.768713881159238,-0.36836622059179813,-0.42276456514005717,-0.5074218670397053,1.2017171960635478,1.3873263551662258,0.24763107106225854,0.28279663594784527,0.3259901779331476,0.011310113080494216,0.21717760637169858
4.299043,-0.018707383102471213,-0.518590357340582,0.06551764115100502,-2.8921478486613363,0.030336888081147838,2.3601404664754884,0.768713881159238,-0.36620349089503745,-0.4244597763850696,-0.5047773977189479,1.2054321938568142,1.3873044597415112,0.24847438539004546,0.28289413451349366,0.325982104079764,0.011308433486316063,0.21712868523699352
