x,y,z,g
0.33240494,0.01240443,0.2902738,1
0.33263512,0.01263462,0.2896604,1
0.33286427,0.0128638,0.28904685,1
0.33309067,0.01309022,0.28843313,1
0.33331258,0.01331216,0.28781923,1
0.33352826,0.01352787,0.28720513,1
0.33373598,0.01373562,0.28659081,1
0.33393399,0.01393367,0.28597627,1
0.33412058,0.01412029,0.28536148,1
0.33429398,0.01429373,0.28474643,1
0.33445248,0.01445227,0.28413111,1
0.33459434,0.01459416,0.28351549,1
0.33471782,0.01471767,0.28289957,1
0.33482117,0.01482106,0.28228333,1
0.33490268,0.0149026,0.28166676,1
0.33496059,0.01496055,0.28104983,1
0.33499318,0.01499317,0.28043253,1
0.33499873,0.01499874,0.27981486,1
0.33497672,0.01497675,0.27919681,1
0.33492868,0.01492874,0.27857844,1
0.33485636,0.01485644,0.27795981,1
0.3347615,0.01476159,0.27734098,1
0.33464582,0.01464592,0.276722,1
0.33451107,0.01451118,0.27610293,1
0.33435898,0.01435911,0.27548383,1
0.33419129,0.01419142,0.27486474,1
0.33400973,0.01400987,0.27424575,1
0.33381605,0.01381619,0.27362688,1
0.33361197,0.01361212,0.27300822,1
0.33339924,0.01339938,0.2723898,1
0.33317959,0.01317973,0.2717717,1
0.33295475,0.01295489,0.27115396,1
0.33272647,0.01272661,0.27053664,1
0.33249648,0.01249661,0.26991981,1
0.33226651,0.01226664,0.26930351,1
0.33203831,0.01203843,0.26868781,1
0.33181361,0.01181373,0.26807275,1
0.33159414,0.01159425,0.26745841,1
0.33138165,0.01138175,0.26684483,1
0.33117786,0.01117796,0.26623208,1
0.33098452,0.01098461,0.2656202,1
0.33080337,0.01080344,0.26500927,1
0.33063613,0.01063619,0.26439932,1
0.33048454,0.0104846,0.26379043,1
0.33035035,0.01035039,0.26318265,1
0.33023528,0.01023532,0.26257603,1
0.33014108,0.01014111,0.26197063,1
0.33006948,0.0100695,0.26136651,1
0.33002222,0.01002223,0.26076373,1
0.33000103,0.01000103,0.26016234,1
0.33000742,0.01000742,0.25956239,1
0.33004082,0.01004081,0.25896374,1
0.33009949,0.01009947,0.2583662,1
0.3301817,0.01018168,0.25776954,1
0.33028571,0.01028569,0.25717354,1
0.3304098,0.01040977,0.25657801,1
0.33055221,0.01055217,0.25598273,1
0.33071121,0.01071117,0.25538747,1
0.33088507,0.01088503,0.25479204,1
0.33107205,0.01107201,0.25419621,1
0.33127041,0.01127037,0.25359978,1
0.33147842,0.01147838,0.25300252,1
0.33169434,0.0116943,0.25240424,1
0.33191644,0.0119164,0.25180471,1
0.33214297,0.01214293,0.25120372,1
0.3323722,0.01237216,0.25060106,1
0.3326024,0.01260236,0.24999651,1
0.33283182,0.01283179,0.24938987,1
0.33305874,0.01305871,0.24878092,1
0.33328141,0.01328138,0.24816944,1
0.3334981,0.01349807,0.24755523,1
0.33370706,0.01370704,0.24693807,1
0.33390658,0.01390655,0.24631774,1
0.3340949,0.01409488,0.24569404,1
0.33427029,0.01427028,0.24506675,1
0.33443102,0.01443101,0.24443566,1
0.33457535,0.01457534,0.24380056,1
0.33470154,0.01470153,0.24316123,1
0.33480785,0.01480785,0.24251746,1
0.33489256,0.01489255,0.24186903,1
0.33495391,0.01495391,0.24121574,1
0.33499019,0.01499019,0.24055737,1
0.33499964,0.01499964,0.23989371,1
0.33498143,0.01498144,0.2392248,1
0.33493696,0.01493697,0.23855135,1
0.33486796,0.01486797,0.23787414,1
0.33477617,0.01477617,0.23719397,1
0.33466331,0.01466332,0.23651163,1
0.33453114,0.01453115,0.23582792,1
0.33438139,0.0143814,0.23514364,1
0.33421578,0.01421579,0.23445958,1
0.33403607,0.01403608,0.23377654,1
0.33384399,0.013844,0.2330953,1
0.33364126,0.01364127,0.23241667,1
0.33342964,0.01342965,0.23174144,1
0.33321085,0.01321086,0.23107041,1
0.33298663,0.01298664,0.23040436,1
0.33275873,0.01275874,0.2297441,1
0.33252887,0.01252888,0.22909041,1
0.33229879,0.0122988,0.2284441,1
0.33207023,0.01207024,0.22780597,1
0.33184492,0.01184493,0.22717679,1
0.33162461,0.01162462,0.22655737,1
0.33141103,0.01141104,0.22594851,1
0.33120591,0.01120592,0.225351,1
0.33101099,0.011011,0.22476563,1
0.33082802,0.01082802,0.2241932,1
0.33065871,0.01065872,0.2236345,1
0.33050482,0.01050483,0.22309033,1
0.33036808,0.01036808,0.22256149,1
0.33025022,0.01025022,0.22204876,1
0.33015298,0.01015298,0.22155295,1
0.3300781,0.0100781,0.22107484,1
0.33002732,0.01002732,0.22061524,1
0.33000236,0.01000236,0.22017494,1
0.33000486,0.01000486,0.21975466,1
0.33003457,0.01003457,0.21935405,1
0.3300898,0.0100898,0.21897191,1
0.33016881,0.01016881,0.218607,1
0.33026987,0.01026987,0.21825809,1
0.33039124,0.01039124,0.21792396,1
0.33053119,0.01053119,0.21760337,1
0.33068797,0.01068797,0.21729509,1
0.33085985,0.01085985,0.2169979,1
0.3310451,0.01104509,0.21671056,1
0.33124197,0.01124197,0.21643184,1
0.33144873,0.01144873,0.21616052,1
0.33166365,0.01166365,0.21589536,1
0.33188498,0.01188498,0.21563513,1
0.332111,0.012111,0.21537861,1
0.33233996,0.01233996,0.21512456,1
0.33257013,0.01257012,0.21487175,1
0.33279977,0.01279976,0.21461895,1
0.33302714,0.01302714,0.21436493,1
0.33325051,0.01325051,0.21410847,1
0.33346814,0.01346814,0.21384833,1
0.3336783,0.0136783,0.21358328,1
0.33387924,0.01387924,0.21331209,1
0.33406924,0.01406924,0.21303354,1
0.33424655,0.01424655,0.21274638,1
0.33440944,0.01440944,0.2124494,1
0.33455617,0.01455617,0.21214136,1
0.33468501,0.01468501,0.21182103,1
0.33479422,0.01479422,0.21148718,1
0.33488205,0.01488205,0.21113858,1
0.33494679,0.01494679,0.210774,1
0.33498668,0.01498668,0.21039222,1
0.33499999,0.01499999,0.20999199,1
0.33498561,0.01498561,0.20957243,1
0.33494471,0.01494471,0.20913389,1
0.33487904,0.01487904,0.20867702,1
0.33479034,0.01479034,0.20820247,1
0.33468033,0.01468033,0.2077109,1
0.33455076,0.01455076,0.20720296,1
0.33440336,0.01440337,0.2066793,1
0.33423988,0.01423988,0.20614058,1
0.33406204,0.01406204,0.20558744,1
0.33387158,0.01387158,0.20502054,1
0.33367024,0.01367024,0.20444053,1
0.33345976,0.01345976,0.20384806,1
0.33324187,0.01324187,0.20324379,1
0.33301831,0.01301831,0.20262837,1
0.33279082,0.01279082,0.20200245,1
0.33256112,0.01256113,0.20136668,1
0.33233097,0.01233097,0.20072171,1
0.33210209,0.0121021,0.2000682,1
0.33187623,0.01187623,0.1994068,1
0.33165511,0.01165511,0.19873817,1
0.33144048,0.01144048,0.19806294,1
0.33123407,0.01123407,0.19738179,1
0.33103762,0.01103762,0.19669535,1
0.33085287,0.01085287,0.19600428,1
0.33068154,0.01068154,0.19530924,1
0.33052539,0.01052539,0.19461087,1
0.33038614,0.01038614,0.19390983,1
0.33026553,0.01026553,0.19320677,1
0.3301653,0.0101653,0.19250235,1
0.33008718,0.01008718,0.19179721,1
0.33003291,0.01003291,0.19109201,1
0.33000424,0.01000424,0.19038739,1
0.33000283,0.01000283,0.18968402,1
0.33002883,0.01002883,0.1889824,1
0.33008059,0.01008059,0.18828289,1
0.33015638,0.01015638,0.18758587,1
0.33025445,0.01025445,0.18689168,1
0.33037308,0.01037308,0.18620068,1
0.33051053,0.01051053,0.18551323,1
0.33066506,0.01066506,0.18482968,1
0.33083493,0.01083493,0.1841504,1
0.33101841,0.01101841,0.18347574,1
0.33121376,0.01121376,0.18280606,1
0.33141924,0.01141924,0.18214171,1
0.33163312,0.01163312,0.18148305,1
0.33185366,0.01185366,0.18083045,1
0.33207912,0.01207912,0.18018425,1
0.33230777,0.01230778,0.17954482,1
0.33253788,0.01253788,0.17891251,1
0.33276769,0.0127677,0.17828768,1
0.33299549,0.01299549,0.17767068,1
0.33321953,0.01321953,0.17706188,1
0.33343807,0.01343807,0.17646163,1
0.33364938,0.01364938,0.17587029,1
0.33385172,0.01385172,0.17528822,1
0.33404335,0.01404335,0.17471577,1
0.33422254,0.01422254,0.1741533,1
0.33438756,0.01438756,0.17360117,1
0.33453666,0.01453666,0.17305973,1
0.33466811,0.01466811,0.17252935,1
0.33478017,0.01478017,0.17201037,1
0.3348711,0.0148711,0.17150317,1
0.33493918,0.01493918,0.17100809,1
0.33498265,0.01498265,0.17052549,1
0.3349998,0.0149998,0.17005573,1
0.33498926,0.01498926,0.16959909,1
0.33495197,0.01495197,0.16915539,1
0.33488967,0.01488967,0.16872427,1
