x,y,z
0.40050796,0.01113124,0.52380687
0.40051426,0.01115607,0.52385492
0.40052058,0.01118090,0.52390295
0.40052692,0.01120573,0.52395096
0.40053329,0.01123056,0.52399894
0.40053967,0.01125538,0.52404690
0.40054608,0.01128020,0.52409483
0.40055251,0.01130503,0.52414274
0.40055897,0.01132985,0.52419063
0.40056544,0.01135467,0.52423849
0.40057194,0.01137949,0.52428633
0.40057846,0.01140431,0.52433414
0.40058500,0.01142913,0.52438193
0.40059156,0.01145394,0.52442969
0.40059814,0.01147876,0.52447743
0.40060475,0.01150358,0.52452515
0.40061138,0.01152839,0.52457284
0.40061803,0.01155320,0.52462050
0.40062470,0.01157801,0.52466815
0.40063140,0.01160282,0.52471577
0.40063811,0.01162763,0.52476336
0.40064485,0.01165244,0.52481093
0.40065161,0.01167725,0.52485848
0.40065839,0.01170206,0.52490600
0.40066519,0.01172686,0.52495349
0.40067202,0.01175167,0.52500097
0.40067887,0.01177647,0.52504842
0.40068574,0.01180127,0.52509584
0.40069263,0.01182608,0.52514324
0.40069954,0.01185088,0.52519062
0.40070647,0.01187568,0.52523797
0.40071343,0.01190047,0.52528530
0.40072041,0.01192527,0.52533260
0.40072741,0.01195007,0.52537988
0.40073443,0.01197486,0.52542714
0.40074147,0.01199966,0.52547437
0.40074854,0.01202445,0.52552158
0.40075563,0.01204924,0.52556876
0.40076274,0.01207404,0.52561592
0.40076987,0.01209883,0.52566305
0.40077702,0.01212361,0.52571016
0.40078419,0.01214840,0.52575725
0.40079139,0.01217319,0.52580431
0.40079861,0.01219798,0.52585135
0.40080585,0.01222276,0.52589836
0.40081311,0.01224755,0.52594535
0.40082039,0.01227233,0.52599232
0.40082769,0.01229711,0.52603926
0.40083502,0.01232189,0.52608618
0.40084237,0.01234667,0.52613307
0.40084974,0.01237145,0.52617994
0.40085713,0.01239623,0.52622679
0.40086454,0.01242101,0.52627361
0.40087197,0.01244578,0.52632041
0.40087943,0.01247056,0.52636718
0.40088691,0.01249533,0.52641393
0.40089441,0.01252011,0.52646065
0.40090193,0.01254488,0.52650736
0.40090947,0.01256965,0.52655403
0.40091703,0.01259442,0.52660069
0.40092462,0.01261919,0.52664731
0.40093223,0.01264396,0.52669392
0.40093986,0.01266872,0.52674050
0.40094751,0.01269349,0.52678706
0.40095518,0.01271825,0.52683359
0.40096287,0.01274302,0.52688010
0.40097059,0.01276778,0.52692658
0.40097832,0.01279254,0.52697304
0.40098608,0.01281730,0.52701948
0.40099386,0.01284206,0.52706589
0.40100166,0.01286682,0.52711228
0.40100948,0.01289158,0.52715865
0.40101733,0.01291634,0.52720499
0.40102519,0.01294109,0.52725131
0.40103308,0.01296585,0.52729760
0.40104099,0.01299060,0.52734387
0.40104892,0.01301536,0.52739011
0.40105687,0.01304011,0.52743633
0.40106484,0.01306486,0.52748253
0.40107284,0.01308961,0.52752870
0.40108085,0.01311436,0.52757485
0.40108889,0.01313911,0.52762098
0.40109695,0.01316385,0.52766708
0.40110503,0.01318860,0.52771316
0.40111313,0.01321334,0.52775921
0.40112125,0.01323809,0.52780524
0.40112940,0.01326283,0.52785125
0.40113756,0.01328757,0.52789723
0.40114575,0.01331231,0.52794318
0.40115396,0.01333705,0.52798912
0.40116219,0.01336179,0.52803503
0.40117044,0.01338653,0.52808091
0.40117871,0.01341127,0.52812678
0.40118701,0.01343600,0.52817261
0.40119532,0.01346074,0.52821843
0.40120366,0.01348547,0.52826422
0.40121201,0.01351020,0.52830999
0.40122039,0.01353494,0.52835573
0.40122879,0.01355967,0.52840145
0.40123722,0.01358440,0.52844714
0.40124566,0.01360913,0.52849281
0.40125412,0.01363385,0.52853846
0.40126261,0.01365858,0.52858409
0.40127112,0.01368331,0.52862969
0.40127964,0.01370803,0.52867526
0.40128819,0.01373276,0.52872081
0.40129676,0.01375748,0.52876634
0.40130535,0.01378220,0.52881185
0.40131397,0.01380692,0.52885733
0.40132260,0.01383164,0.52890278
0.40133126,0.01385636,0.52894822
0.40133993,0.01388108,0.52899363
0.40134863,0.01390580,0.52903901
0.40135735,0.01393051,0.52908437
0.40136609,0.01395523,0.52912971
0.40137485,0.01397994,0.52917502
0.40138363,0.01400465,0.52922031
0.40139244,0.01402937,0.52926558
0.40140126,0.01405408,0.52931082
0.40141011,0.01407879,0.52935604
0.40141898,0.01410350,0.52940124
0.40142786,0.01412821,0.52944641
0.40143677,0.01415291,0.52949156
0.40144570,0.01417762,0.52953668
0.40145466,0.01420232,0.52958178
0.40146363,0.01422703,0.52962686
0.40147262,0.01425173,0.52967191
0.40148164,0.01427643,0.52971694
0.40149067,0.01430113,0.52976194
0.40149973,0.01432583,0.52980693
0.40150881,0.01435053,0.52985188
0.40151791,0.01437523,0.52989682
0.40152703,0.01439993,0.52994173
0.40153617,0.01442463,0.52998661
0.40154533,0.01444932,0.53003148
0.40155451,0.01447402,0.53007632
0.40156372,0.01449871,0.53012113
0.40157294,0.01452340,0.53016592
0.40158219,0.01454809,0.53021069
0.40159145,0.01457278,0.53025544
0.40160074,0.01459747,0.53030016
0.40161005,0.01462216,0.53034486
0.40161938,0.01464685,0.53038953
0.40162873,0.01467153,0.53043418
0.40163810,0.01469622,0.53047881
0.40164750,0.01472091,0.53052341
0.40165691,0.01474559,0.53056799
0.40166635,0.01477027,0.53061254
0.40167580,0.01479495,0.53065708
0.40168528,0.01481963,0.53070158
0.40169478,0.01484431,0.53074607
0.40170429,0.01486899,0.53079053
0.40171383,0.01489367,0.53083497
0.40172339,0.01491835,0.53087938
0.40173297,0.01494302,0.53092377
0.40174258,0.01496770,0.53096814
0.40175220,0.01499237,0.53101248
0.40176184,0.01501704,0.53105680
0.40177151,0.01504171,0.53110110
0.40178119,0.01506639,0.53114537
0.40179090,0.01509106,0.53118962
0.40180063,0.01511572,0.53123384
0.40181037,0.01514039,0.53127804
0.40182014,0.01516506,0.53132222
0.40182993,0.01518973,0.53136638
0.40183974,0.01521439,0.53141051
0.40184957,0.01523905,0.53145461
0.40185942,0.01526372,0.53149870
0.40186930,0.01528838,0.53154276
0.40187919,0.01531304,0.53158679
0.40188910,0.01533770,0.53163081
0.40189904,0.01536236,0.53167480
0.40190899,0.01538702,0.53171876
0.40191897,0.01541168,0.53176271
0.40192897,0.01543633,0.53180663
0.40193898,0.01546099,0.53185052
0.40194902,0.01548564,0.53189439
0.40195908,0.01551029,0.53193824
0.40196916,0.01553495,0.53198207
0.40197926,0.01555960,0.53202587
0.40198938,0.01558425,0.53206965
0.40199952,0.01560890,0.53211340
0.40200969,0.01563355,0.53215713
0.40201987,0.01565819,0.53220084
0.40203007,0.01568284,0.53224452
0.40204030,0.01570749,0.53228819
0.40205054,0.01573213,0.53233182
0.40206081,0.01575678,0.53237544
0.40207109,0.01578142,0.53241903
0.40208140,0.01580606,0.53246259
0.40209173,0.01583070,0.53250614
0.40210208,0.01585534,0.53254966
0.40211244,0.01587998,0.53259316
0.40212283,0.01590462,0.53263663
0.40213324,0.01592925,0.53268008
0.40214367,0.01595389,0.53272351
0.40215412,0.01597853,0.53276691
0.40216460,0.01600316,0.53281029
0.40217509,0.01602779,0.53285365
0.40218560,0.01605242,0.53289698
0.40219613,0.01607706,0.53294029
0.40220669,0.01610169,0.53298357
0.40221726,0.01612632,0.53302684
0.40222785,0.01615094,0.53307008
0.40223847,0.01617557,0.53311329
0.40224910,0.01620020,0.53315649
0.40225976,0.01622482,0.53319965
0.40227044,0.01624945,0.53324280
0.40228113,0.01627407,0.53328592
0.40229185,0.01629869,0.53332902
0.40230259,0.01632331,0.53337210
0.40231335,0.01634794,0.53341515
0.40232413,0.01637256,0.53345818
0.40233492,0.01639717,0.53350119
0.40234574,0.01642179,0.53354417
0.40235658,0.01644641,0.53358713
0.40236744,0.01647102,0.53363007
0.40237833,0.01649564,0.53367298
0.40238923,0.01652025,0.53371587
0.40240015,0.01654487,0.53375873
0.40241109,0.01656948,0.53380158
0.40242205,0.01659409,0.53384440
0.40243303,0.01661870,0.53388719
0.40244404,0.01664331,0.53392997
0.40245506,0.01666792,0.53397272
0.40246610,0.01669252,0.53401544
0.40247717,0.01671713,0.53405815
0.40248825,0.01674174,0.53410083
0.40249936,0.01676634,0.53414348
0.40251048,0.01679094,0.53418612
0.40252163,0.01681555,0.53422873
0.40253279,0.01684015,0.53427131
0.40254398,0.01686475,0.53431388
0.40255518,0.01688935,0.53435642
0.40256641,0.01691395,0.53439894
0.40257766,0.01693855,0.53444143
0.40258892,0.01696314,0.53448390
0.40260021,0.01698774,0.53452635
0.40261152,0.01701233,0.53456877
0.40262284,0.01703693,0.53461117
0.40263419,0.01706152,0.53465355
0.40264556,0.01708611,0.53469591
0.40265695,0.01711070,0.53473824
0.40266835,0.01713529,0.53478055
0.40267978,0.01715988,0.53482283
0.40269123,0.01718447,0.53486510
0.40270270,0.01720906,0.53490733
0.40271419,0.01723365,0.53494955
0.40272570,0.01725823,0.53499174
0.40273723,0.01728282,0.53503391
0.40274878,0.01730740,0.53507606
0.40276035,0.01733198,0.53511818
0.40277194,0.01735656,0.53516028
0.40278355,0.01738114,0.53520236
0.40279518,0.01740572,0.53524441
