x,y,z
0.52879406,-0.01223828,0.50791061
0.52887574,-0.01227294,0.50794582
0.52895735,-0.01230756,0.50798109
0.52903888,-0.01234215,0.50801642
0.52912034,-0.01237672,0.50805180
0.52920173,-0.01241125,0.50808724
0.52928305,-0.01244576,0.50812274
0.52936430,-0.01248023,0.50815829
0.52944547,-0.01251468,0.50819391
0.52952657,-0.01254910,0.50822957
0.52960760,-0.01258349,0.50826530
0.52968855,-0.01261785,0.50830108
0.52976944,-0.01265218,0.50833692
0.52985025,-0.01268648,0.50837281
0.52993099,-0.01272075,0.50840876
0.53001166,-0.01275499,0.50844477
0.53009225,-0.01278921,0.50848084
0.53017277,-0.01282339,0.50851696
0.53025323,-0.01285755,0.50855314
0.53033360,-0.01289167,0.50858937
0.53041391,-0.01292577,0.50862566
0.53049415,-0.01295984,0.50866201
0.53057431,-0.01299388,0.50869841
0.53065440,-0.01302789,0.50873487
0.53073442,-0.01306187,0.50877138
0.53081436,-0.01309582,0.50880796
0.53089424,-0.01312974,0.50884458
0.53097404,-0.01316364,0.50888127
0.53105377,-0.01319750,0.50891801
0.53113343,-0.01323134,0.50895480
0.53121302,-0.01326515,0.50899165
0.53129253,-0.01329893,0.50902856
0.53137198,-0.01333268,0.50906552
0.53145135,-0.01336640,0.50910254
0.53153065,-0.01340009,0.50913961
0.53160988,-0.01343376,0.50917674
0.53168903,-0.01346739,0.50921393
0.53176812,-0.01350100,0.50925117
0.53184713,-0.01353458,0.50928847
0.53192607,-0.01356813,0.50932582
0.53200494,-0.01360165,0.50936323
0.53208373,-0.01363514,0.50940069
0.53216246,-0.01366861,0.50943821
0.53224111,-0.01370204,0.50947578
0.53231970,-0.01373545,0.50951341
0.53239821,-0.01376883,0.50955109
0.53247665,-0.01380218,0.50958883
0.53255501,-0.01383550,0.50962663
0.53263331,-0.01386879,0.50966448
0.53271153,-0.01390206,0.50970238
0.53278969,-0.01393530,0.50974034
0.53286777,-0.01396851,0.50977835
0.53294578,-0.01400169,0.50981642
0.53302371,-0.01403484,0.50985455
0.53310158,-0.01406796,0.50989272
0.53317938,-0.01410106,0.50993096
0.53325710,-0.01413413,0.50996924
0.53333475,-0.01416716,0.51000759
0.53341233,-0.01420018,0.51004598
0.53348984,-0.01423316,0.51008444
0.53356728,-0.01426611,0.51012294
0.53364465,-0.01429904,0.51016150
0.53372194,-0.01433194,0.51020012
0.53379917,-0.01436481,0.51023879
0.53387632,-0.01439766,0.51027751
0.53395340,-0.01443047,0.51031629
0.53403041,-0.01446326,0.51035512
0.53410735,-0.01449602,0.51039400
0.53418422,-0.01452875,0.51043294
0.53426101,-0.01456145,0.51047194
0.53433774,-0.01459413,0.51051099
0.53441439,-0.01462678,0.51055009
0.53449098,-0.01465940,0.51058925
0.53456749,-0.01469199,0.51062846
0.53464393,-0.01472455,0.51066772
0.53472030,-0.01475709,0.51070704
0.53479660,-0.01478960,0.51074641
0.53487282,-0.01482208,0.51078583
0.53494898,-0.01485453,0.51082531
0.53502507,-0.01488696,0.51086484
0.53510108,-0.01491936,0.51090443
0.53517702,-0.01495173,0.51094407
0.53525290,-0.01498407,0.51098376
0.53532870,-0.01501639,0.51102351
0.53540443,-0.01504868,0.51106331
0.53548009,-0.01508094,0.51110316
0.53555568,-0.01511317,0.51114307
0.53563119,-0.01514538,0.51118303
0.53570664,-0.01517756,0.51122304
0.53578202,-0.01520971,0.51126310
0.53585732,-0.01524183,0.51130322
0.53593256,-0.01527393,0.51134339
0.53600772,-0.01530600,0.51138362
0.53608281,-0.01533804,0.51142390
0.53615783,-0.01537006,0.51146423
0.53623279,-0.01540204,0.51150461
0.53630767,-0.01543400,0.51154505
0.53638248,-0.01546594,0.51158554
0.53645721,-0.01549784,0.51162608
0.53653188,-0.01552972,0.51166667
0.53660648,-0.01556157,0.51170732
0.53668101,-0.01559340,0.51174802
0.53675546,-0.01562520,0.51178877
0.53682985,-0.01565697,0.51182958
0.53690416,-0.01568871,0.51187043
0.53697841,-0.01572043,0.51191134
0.53705258,-0.01575212,0.51195230
0.53712669,-0.01578378,0.51199332
0.53720072,-0.01581542,0.51203438
0.53727468,-0.01584702,0.51207550
0.53734857,-0.01587861,0.51211667
0.53742240,-0.01591016,0.51215790
0.53749615,-0.01594169,0.51219917
0.53756983,-0.01597319,0.51224050
0.53764344,-0.01600467,0.51228188
0.53771698,-0.01603611,0.51232331
0.53779045,-0.01606753,0.51236479
0.53786385,-0.01609893,0.51240633
0.53793717,-0.01613030,0.51244791
0.53801043,-0.01616164,0.51248955
0.53808362,-0.01619295,0.51253124
0.53815674,-0.01622424,0.51257298
0.53822979,-0.01625550,0.51261477
0.53830276,-0.01628674,0.51265662
0.53837567,-0.01631794,0.51269851
0.53844851,-0.01634913,0.51274046
0.53852127,-0.01638028,0.51278246
0.53859397,-0.01641141,0.51282451
0.53866660,-0.01644251,0.51286661
0.53873915,-0.01647359,0.51290876
0.53881164,-0.01650464,0.51295097
0.53888405,-0.01653566,0.51299322
0.53895640,-0.01656666,0.51303553
0.53902868,-0.01659763,0.51307789
0.53910088,-0.01662857,0.51312030
0.53917302,-0.01665949,0.51316276
0.53924508,-0.01669038,0.51320527
0.53931708,-0.01672125,0.51324783
0.53938900,-0.01675208,0.51329044
0.53946086,-0.01678290,0.51333310
0.53953264,-0.01681368,0.51337582
0.53960436,-0.01684444,0.51341858
0.53967600,-0.01687518,0.51346140
0.53974758,-0.01690589,0.51350426
0.53981909,-0.01693657,0.51354718
0.53989052,-0.01696723,0.51359014
0.53996189,-0.01699786,0.51363316
0.54003318,-0.01702846,0.51367623
0.54010441,-0.01705904,0.51371935
0.54017557,-0.01708959,0.51376252
